Model;Promo_Price;Price;URL
['SAMSUNG', 'UE55BU8500UXUA'];28399;36 009-7 610                                        28 399 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_samsung_ue55bu8500uxua.html
['LG', 'OLED48C14LB'];41999;59 499-17 500                                        41 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_lg_oled48c14lb.html
['BRAVIS', 'LED-24G5000', '+', 'T2'];4299;5 999-1 700                                        4 299 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_bravis_led-24g5000---t2.html
['MYSTERY', 'MTV-3220HT2'];4599;5 999-1 400                                        4 599 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_mystery_mtv-3220ht2.html
['SAMSUNG', 'QE55LS03AAUXUA'];40999;48 399-7 400                                        40 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_samsung_qe55ls03aauxua.html
['KIVI', '32F740LB'];9899;10 899-1 000                                        9 899 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_kivi_32f740lb.html
['SAMSUNG', 'QE65QN800AUXUA'];120999;151 249-30 250                                        120 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_samsung_qe65qn800auxua.html
['SAMSUNG', 'QE65Q80AAUXUA'];64999;74 999-10 000                                        64 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_samsung_qe65q80aauxua.html
['SAMSUNG', 'UE32T4510AUXUA'];10499;11 399-900                                        10 499 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_samsung_ue32t4510auxua.html
['SAMSUNG', 'QE43LS03AAUXUA'];29299;32 599-3 300                                        29 299 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_samsung_qe43ls03aauxua.html
['SAMSUNG', 'QE50LS03AAUXUA'];35399;44 199-8 800                                        35 399 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_samsung_qe50ls03aauxua.html
['SAMSUNG', 'QE55QN85BAUXUA'];66999;83 749-16 750                                        66 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_samsung_qe55qn85bauxua.html
['SAMSUNG', 'QE75QN800AUXUA'];149999;199 999-50 000                                        149 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_samsung_qe75qn800auxua.html
['ERGO', '32DHT5100'];4999;5 499-500                                        4 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_ergo_32dht5100.html
['SAMSUNG', 'UE58AU7100UXUA'];25199;31 499-6 300                                        25 199 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_samsung_ue58au7100uxua.html
